Alpha,Cl,Cd
-15.000000,-1.644934,0.000000
-14.500000,-1.590103,0.000000
-14.000000,-1.535272,0.000000
-13.500000,-1.480441,0.000000
-13.000000,-1.425610,0.000000
-12.500000,-1.370778,0.000000
-12.000000,-1.315947,0.000000
-11.500000,-1.261116,0.000000
-11.000000,-1.206285,0.000000
-10.500000,-1.151454,0.000000
-10.000000,-1.096623,0.000000
-9.500000,-1.041792,0.000000
-9.000000,-0.986960,0.000000
-8.500000,-0.932129,0.000000
-8.000000,-0.877298,0.000000
-7.500000,-0.822467,0.000000
-7.000000,-0.767636,0.000000
-6.500000,-0.712805,0.000000
-6.000000,-0.657974,0.000000
-5.500000,-0.603142,0.000000
-5.000000,-0.548311,0.000000
-4.500000,-0.493480,0.000000
-4.000000,-0.438649,0.000000
-3.500000,-0.383818,0.000000
-3.000000,-0.328987,0.000000
-2.500000,-0.274156,0.000000
-2.000000,-0.219325,0.000000
-1.500000,-0.164493,0.000000
-1.000000,-0.109662,0.000000
-0.500000,-0.054831,0.000000
0.000000,0.000000,0.000000
0.500000,0.054831,0.000000
1.000000,0.109662,0.000000
1.500000,0.164493,0.000000
2.000000,0.219325,0.000000
2.500000,0.274156,0.000000
3.000000,0.328987,0.000000
3.500000,0.383818,0.000000
4.000000,0.438649,0.000000
4.500000,0.493480,0.000000
5.000000,0.548311,0.000000
5.500000,0.603142,0.000000
6.000000,0.657974,0.000000
6.500000,0.712805,0.000000
7.000000,0.767636,0.000000
7.500000,0.822467,0.000000
8.000000,0.877298,0.000000
8.500000,0.932129,0.000000
9.000000,0.986960,0.000000
9.500000,1.041792,0.000000
10.000000,1.096623,0.000000
10.500000,1.151454,0.000000
11.000000,1.206285,0.000000
11.500000,1.261116,0.000000
12.000000,1.315947,0.000000
12.500000,1.370778,0.000000
13.000000,1.425610,0.000000
13.500000,1.480441,0.000000
14.000000,1.535272,0.000000
14.500000,1.590103,0.000000
15.000000,1.644934,0.000000
